Matric No,Name,Department,Attendance %
CSC/2021/5489,Katelyn Gallegos,Computer Science,95.09792346586022
CSC/2021/9258,Lisa Whitehead,Computer Science,47.102460807421345
CSC/2021/7067,Wendy Reynolds,Computer Science,58.31854393983059
CSC/2021/3596,Amanda Reynolds,Computer Science,60.30028561349006
CSC/2021/1419,Ashley White,Computer Science,71.6377484018022
CSC/2021/1091,Gina Salazar,Computer Science,42.89661211628707
CSC/2021/8941,Gerald Roberts,Computer Science,71.49370586025384
CSC/2021/4066,Kimberly Kelly,Computer Science,46.1722041964727
CSC/2021/4614,Connor Johnson,Computer Science,89.97074581656939
CSC/2021/7574,Anthony Holmes,Computer Science,61.70941218974386
CSC/2021/1035,Mark Mcknight,Computer Science,66.97720271009605
CSC/2021/2635,Kristi Peterson,Computer Science,48.06969555877753
CSC/2021/4236,Rachel Walker,Computer Science,61.06919127333828
CSC/2021/5912,Jerry Browning,Computer Science,43.29796782164844
CSC/2021/3856,Tanya Todd,Computer Science,48.90998394480133
CSC/2021/6705,Bruce Briggs,Computer Science,41.49281616049516
CSC/2021/5694,Jack Thornton,Computer Science,76.98495622739233
CSC/2021/5905,Adam Martinez,Computer Science,76.692816762528
CSC/2021/2517,Miss Carol Jones,Computer Science,65.99145718110911
CSC/2021/2228,Derrick Beard,Computer Science,57.45425397918163
CSC/2021/1590,Ashley Lee,Computer Science,51.26851264787279
CSC/2021/9839,Amanda Khan,Computer Science,95.42816113105361
CSC/2021/5765,Colleen King,Computer Science,78.34115507374095
CSC/2021/6781,Joshua Baker,Computer Science,71.84326582650112
CSC/2021/6643,Joseph Gardner,Computer Science,84.10094405452264
CSC/2021/4875,Alisha Robinson,Computer Science,71.82601351574155
CSC/2021/8902,Angela Farmer,Computer Science,63.0227067614218
CSC/2021/2618,Denise Baker,Computer Science,92.79918986906013
CSC/2021/3762,Whitney Porter,Computer Science,79.32556503906352
CSC/2021/2612,Benjamin Tapia,Computer Science,46.753494371863944
CSC/2021/5271,Kimberly Ho,Computer Science,65.43925058218824
CSC/2021/6048,Madison Mitchell,Computer Science,41.00616822407817
CSC/2021/2668,Kendra Kirby,Computer Science,72.30161419300353
CSC/2021/4777,Charles Contreras,Computer Science,75.82747641883353
CSC/2021/1071,Elizabeth Kirby,Computer Science,95.53297308133119
CSC/2021/1523,Stephanie Hall,Computer Science,81.88089673199161
CSC/2021/8152,Terry Christensen,Computer Science,68.29218218370006
CSC/2021/6762,Ernest Smith,Computer Science,97.93068718161973
CSC/2021/2035,Michael King,Computer Science,88.92210429842537
CSC/2021/4153,Gloria Cooper,Computer Science,98.0980536683399
CSC/2021/5104,Alexander Stone,Computer Science,65.05658221266084
CSC/2021/8913,Jeffrey Stone,Computer Science,83.22695748270789
CSC/2021/7875,Matthew Fields,Computer Science,48.44426531155155
CSC/2021/4940,Michael Vang,Computer Science,91.82687882216158
CSC/2021/5129,Jessica White,Computer Science,86.93388568802001
CSC/2021/1453,Stephen Jackson,Computer Science,56.57472397209567
CSC/2021/7176,Bernard Stewart,Computer Science,74.68303804563763
CSC/2021/9077,Frank Cameron,Computer Science,90.69342182139616
CSC/2021/4519,Douglas Hill,Computer Science,84.72115297795307
CSC/2021/6597,Julia Oconnor,Computer Science,71.00529782350154
